risk_rank,layer,head,count,mean,max,sum
1,43,17,40.0,0.8711527615785599,1.377713918685913,34.846110463142395
2,30,13,30.0,0.8369396328926086,1.0575485229492188,25.10818898677826
3,21,23,62.0,0.2592270105115829,0.5323066711425781,16.07207465171814
4,12,8,31.0,0.3384463440987371,0.5551788806915283,10.49183666706085
5,25,19,53.0,0.1591079639938642,0.2590526342391968,8.432722091674803
6,11,16,44.0,0.18965993821620938,0.5972503423690796,8.345037281513212
7,14,7,26.0,0.31341223991834194,0.6021168231964111,8.14871823787689
8,13,3,57.0,0.1276658229660569,0.1978636980056762,7.276951909065245
9,18,13,49.0,0.146356818627338,0.2555838823318481,7.171484112739561
10,38,10,52.0,0.12931709908522088,0.2551072835922241,6.724489152431485
11,34,15,64.0,0.10373243875801559,0.1776890754699707,6.638876080512998
12,41,22,64.0,0.09099362604320045,0.1136413812637329,5.823592066764829
13,16,16,57.0,0.10211614244862602,0.1656622886657714,5.820620119571683
14,39,2,42.0,0.13429485332398183,0.5791633129119873,5.640383839607237
15,14,22,27.0,0.20728525850507945,0.3807839155197143,5.596701979637145
16,48,5,7.0,0.7854606849806649,0.9745347499847412,5.4982247948646545
17,19,13,25.0,0.1912329816818237,0.3442232608795166,4.780824542045592
18,17,15,54.0,0.08690619689446903,0.1297659873962402,4.692934632301328
19,31,13,29.0,0.1606455383629634,0.2899564504623413,4.658720612525939
20,28,1,61.0,0.07622142502518947,0.1326873302459716,4.649506926536557
21,12,16,27.0,0.16282967284873676,0.2834862470626831,4.396401166915893
22,23,15,21.0,0.19684569608597524,0.3631031513214111,4.13375961780548
23,10,18,29.0,0.13816358303201606,0.2463135123252868,4.006743907928466
24,36,4,42.0,0.08691105814207163,0.2899425029754638,3.6502644419670087
25,27,4,13.0,0.2535601533376253,0.3366186022758484,3.296281993389129
26,24,16,33.0,0.09437510822758526,0.1734158992767334,3.1143785715103136
27,40,2,45.0,0.06690935161378644,0.2457340359687805,3.01092082262039
28,23,21,16.0,0.18218025192618367,0.2440511584281921,2.9148840308189388
29,35,4,60.0,0.0481297264496485,0.2117104530334472,2.8877835869789097
30,9,19,27.0,0.10629295640521576,0.1904335021972656,2.8699098229408255
31,12,5,5.0,0.5677043676376343,0.8591206073760986,2.8385218381881714
32,15,21,49.0,0.057474701988453725,0.1015821695327758,2.8162603974342324
33,33,19,49.0,0.05417804328762751,0.1756224632263183,2.654724121093748
34,23,22,15.0,0.1666348775227864,0.2835568189620971,2.499523162841796
35,5,12,35.0,0.0575055735451834,0.282264769077301,2.012695074081419
36,9,0,28.0,0.0701418327433722,0.2482193708419799,1.9639713168144215
37,8,10,3.0,0.6070104042689005,0.6935900449752808,1.8210312128067017
38,14,2,10.0,0.17627545595169064,0.231373906135559,1.7627545595169063
39,30,10,24.0,0.07270560165246323,0.1323760747909546,1.7449344396591175
40,22,6,14.0,0.12003411991255619,0.2062996625900268,1.6804776787757867
41,26,2,50.0,0.032588477134704544,0.0470273494720459,1.629423856735227
42,53,23,10.0,0.15800638198852537,0.2617108821868896,1.5800638198852537
43,23,17,10.0,0.15740162134170527,0.2409472465515136,1.5740162134170528
44,8,17,45.0,0.033883941173553415,0.2041465640068054,1.5247773528099038
45,37,23,39.0,0.037105693266941894,0.1085581183433532,1.4471220374107339
46,29,21,42.0,0.033277324267796074,0.0675269365310669,1.397647619247435
47,6,12,5.0,0.27165419459342954,0.4568800032138824,1.3582709729671478
48,7,12,27.0,0.05012504701261162,0.1413717269897461,1.3533762693405138
49,26,0,12.0,0.110777606566747,0.1579195261001587,1.329331278800964
50,31,22,17.0,0.07576637408312627,0.1085742712020874,1.2880283594131465
51,6,3,21.0,0.06038410039175119,0.1054083704948425,1.268066108226775
52,24,19,19.0,0.0642908937052676,0.0948755741119384,1.2215269804000843
53,24,9,9.0,0.13469927840762663,0.1557631492614746,1.2122935056686397
54,43,23,24.0,0.04875927666823065,0.0599365234375,1.1702226400375355
55,22,9,16.0,0.07045318186283106,0.0902595520019531,1.127250909805297
56,20,19,12.0,0.09362283349037166,0.1423732042312622,1.12347400188446
57,45,3,12.0,0.08634388446807856,0.1540486216545105,1.0361266136169427
58,39,3,6.0,0.17048895359039304,0.3702298402786255,1.0229337215423582
59,53,13,22.0,0.04559127850966015,0.1329032182693481,1.0030081272125233
60,37,19,19.0,0.05142405786012343,0.1283740401268005,0.9770570993423452
61,27,20,46.0,0.02110267203787094,0.0348463058471679,0.9707229137420631
62,3,14,34.0,0.02839334046139432,0.0801039934158325,0.9653735756874069
63,38,1,3.0,0.3204176028569539,0.3721177577972412,0.9612528085708618
64,49,13,17.0,0.05636047966340004,0.0821024179458618,0.9581281542778007
65,22,0,29.0,0.032281809839709005,0.0779495239257812,0.9361724853515611
66,32,13,24.0,0.03762954970200851,0.0529201626777648,0.9031091928482043
67,19,1,11.0,0.08102331378243183,0.2242717742919922,0.89125645160675
68,5,13,9.0,0.09716092877917815,0.155112624168396,0.8744483590126033
69,40,6,11.0,0.077985481782393,0.1147064566612243,0.857840299606323
70,20,7,7.0,0.11689463683537069,0.137019395828247,0.8182624578475948
71,25,20,3.0,0.26383771498998004,0.3563045859336853,0.7915131449699401
72,50,6,63.0,0.012491543141622345,0.0269594192504882,0.7869672179222077
73,29,1,14.0,0.056103561605725924,0.0914734601974487,0.7854498624801629
74,19,9,7.0,0.11037416117531909,0.3644888401031494,0.7726191282272337
75,52,0,51.0,0.014994546478869825,0.0197604894638061,0.7647218704223611
76,31,7,7.0,0.10656668458666116,0.1874313950538635,0.7459667921066281
77,42,12,44.0,0.01653865250674156,0.0389231443405151,0.7277007102966286
78,3,11,3.0,0.24103240172068277,0.3975279927253723,0.7230972051620483
79,20,3,4.0,0.17573213577270505,0.2508256435394287,0.7029285430908202
80,19,19,10.0,0.07011238336563105,0.1478455066680908,0.7011238336563106
81,10,4,7.0,0.09935429266520904,0.1901032328605651,0.6954800486564633
82,55,0,62.0,0.011056226107381956,0.0146741867065429,0.6854860186576813
83,56,21,58.0,0.011552620550681757,0.0172851085662841,0.6700519919395419
84,27,22,2.0,0.33147332072257996,0.532646894454956,0.6629466414451599
85,10,22,8.0,0.08259983360767362,0.1351698637008667,0.6607986688613889
86,44,13,58.0,0.0109353373790609,0.02642023563385,0.6342495679855322
87,33,0,9.0,0.06960701280170009,0.151335597038269,0.6264631152153008
88,17,1,10.0,0.05997506380081173,0.0932470560073852,0.5997506380081173
89,2,5,5.0,0.11874144077301022,0.2322783470153808,0.593707203865051
90,54,7,22.0,0.02678372101350258,0.0354933738708496,0.5892418622970568
91,8,14,2.0,0.2920224070549011,0.4356604814529419,0.5840448141098022
92,40,7,8.0,0.07253703474998469,0.0865876674652099,0.5802962779998775
93,8,11,3.0,0.19195655981699622,0.3005688786506653,0.5758696794509887
94,48,15,6.0,0.09483980139096576,0.173799991607666,0.5690388083457946
95,6,8,9.0,0.06191565593083695,0.1045743227005004,0.5572409033775325
96,37,7,4.0,0.13870508968830103,0.2320992946624755,0.5548203587532041
97,10,3,7.0,0.07880119766507825,0.1230494976043701,0.5516083836555478
